EventID,ParticleName,Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
248,proton,251.533172,226.007641,-1.332088,-92.000000,2.407033,86.634719,-95.113591,-0.088977,-0.994302,0.058701
147,proton,255.175534,255.385415,-0.352791,-92.000000,-0.003083,90.402101,-92.318834,-0.040459,-0.999157,-0.007018
350,proton,255.309816,255.309816,2.324197,-92.000000,-0.116560,89.326919,-87.949316,0.035781,-0.999291,0.011747
149,proton,252.074529,222.062682,-0.594698,-92.000000,2.545943,88.641742,-87.572769,0.042339,-0.998822,0.023704
351,proton,255.229928,255.229928,1.522217,-92.000000,2.598372,88.998378,-89.706307,0.005125,-0.999834,0.017481
254,proton,253.216141,253.216141,0.291379,-92.000000,1.675145,88.877320,-90.500769,-0.008738,-0.999770,0.019593
352,proton,255.106691,255.106691,-2.067984,-92.000000,2.583202,89.353169,-91.855944,-0.032385,-0.999412,0.011289
255,proton,254.445103,254.445103,-1.471845,-92.000000,1.270914,89.767325,-89.628659,0.006481,-0.999971,0.004061
52,proton,254.590447,254.590447,-1.437600,-92.000000,-2.556001,91.213587,-91.273701,-0.022223,-0.999529,-0.021180
353,proton,256.556054,256.556054,-1.231435,-92.000000,-0.380519,89.700504,-90.765458,-0.013359,-0.999897,0.005227
152,proton,255.975011,255.975011,2.378320,-92.000000,-2.301299,89.912500,-90.464556,-0.008108,-0.999966,0.001527
53,proton,251.228175,226.520289,-2.742210,-92.000000,2.056865,90.614966,-92.272627,-0.039652,-0.999156,-0.010733
354,proton,253.241232,197.925252,-0.288500,-92.000000,-2.534483,90.432431,-90.629068,-0.010979,-0.999911,-0.007547
356,proton,254.095628,254.095628,1.221540,-92.000000,-0.917422,90.432393,-89.038075,0.016787,-0.999831,-0.007547
357,proton,257.043295,125.112530,1.104532,-92.000000,-1.231858,91.542256,-90.465116,-0.008115,-0.999605,-0.026914
358,proton,257.387490,257.387490,-1.828382,-92.000000,1.535286,89.112426,-91.091216,-0.019042,-0.999699,0.015490
156,proton,255.507692,201.098813,0.231492,-92.000000,0.993884,90.520072,-90.801089,-0.013981,-0.999861,-0.009077
262,proton,254.845369,198.785850,-2.160458,-92.000000,1.305292,89.327559,-89.564109,0.007607,-0.999902,0.011736
361,proton,254.503726,254.503726,-1.561784,-92.000000,0.525859,88.616774,-89.786047,0.003733,-0.999702,0.024139
62,proton,256.527076,256.527076,0.169101,-92.000000,0.835047,91.181342,-89.243912,0.013193,-0.999700,-0.020617
266,proton,255.132274,70.450523,0.059473,-92.000000,-2.305246,90.343927,-89.386278,0.010711,-0.999925,-0.006003
161,proton,256.284739,178.096017,1.342749,-92.000000,-0.009029,90.850055,-90.080618,-0.001407,-0.999889,-0.014836
64,proton,253.751514,253.751514,0.577124,-92.000000,1.884004,89.172763,-89.042465,0.016710,-0.999756,0.014438
366,proton,256.294384,256.294384,-2.425126,-92.000000,-1.028306,89.076618,-90.732643,-0.012785,-0.999788,0.016115
65,proton,255.741127,203.887227,-1.520034,-92.000000,-0.021703,90.737884,-89.307503,0.012085,-0.999844,-0.012878
368,proton,254.669314,254.669314,-1.951440,-92.000000,1.232970,88.931307,-89.715797,0.004959,-0.999814,0.018651
370,proton,255.580152,205.548278,0.620050,-92.000000,0.896508,91.417827,-88.954801,0.018236,-0.999528,-0.024743
169,proton,255.184656,255.184656,-0.849783,-92.000000,-0.383911,88.114703,-91.006729,-0.017560,-0.999304,0.032899
