EventID,ParticleName,Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
41,neutron,66.000000,18.889003,-0.029834,-92.000000,-1.110196,90.000000,-90.000000,0.000000,-1.000000,0.000000
347,neutron,66.000000,24.614122,0.405869,-92.000000,2.095419,90.000000,-90.000000,0.000000,-1.000000,0.000000
132,neutron,66.000000,0.414378,0.190729,-92.000000,1.222240,90.000000,-90.000000,0.000000,-1.000000,0.000000
134,neutron,66.000000,0.594711,1.637252,-92.000000,-1.930195,90.000000,-90.000000,0.000000,-1.000000,0.000000
42,neutron,66.000000,0.232569,-1.892160,-92.000000,1.645919,90.000000,-90.000000,0.000000,-1.000000,0.000000
44,neutron,66.000000,0.019171,2.747495,-92.000000,-2.119889,90.000000,-90.000000,0.000000,-1.000000,0.000000
263,neutron,66.000000,0.000000,-0.235032,-92.000000,1.386514,90.000000,-90.000000,0.000000,-1.000000,0.000000
268,neutron,66.000000,0.180799,1.587559,-92.000000,-0.839951,90.000000,-90.000000,0.000000,-1.000000,0.000000
351,neutron,66.000000,0.420813,-0.784139,-92.000000,-1.244170,90.000000,-90.000000,0.000000,-1.000000,0.000000
270,neutron,66.000000,34.584336,-0.037217,-92.000000,0.038884,90.000000,-90.000000,0.000000,-1.000000,0.000000
271,neutron,66.000000,13.685733,-1.630352,-92.000000,-2.678346,90.000000,-90.000000,0.000000,-1.000000,0.000000
352,neutron,66.000000,0.212388,2.615988,-92.000000,-1.695009,90.000000,-90.000000,0.000000,-1.000000,0.000000
274,neutron,66.000000,0.000000,0.265580,-92.000000,0.660028,90.000000,-90.000000,0.000000,-1.000000,0.000000
353,neutron,66.000000,0.290834,0.288576,-92.000000,-1.924793,90.000000,-90.000000,0.000000,-1.000000,0.000000
354,neutron,66.000000,0.031215,-0.578160,-92.000000,-1.240525,90.000000,-90.000000,0.000000,-1.000000,0.000000
279,neutron,65.829486,0.028605,0.929400,-92.000000,-0.661474,95.992604,-81.135965,0.153248,-0.982657,-0.104400
282,neutron,66.000000,36.894126,-1.857864,-92.000000,-2.559279,90.000000,-90.000000,0.000000,-1.000000,0.000000
137,neutron,66.000000,0.204527,1.854121,-92.000000,0.860970,90.000000,-90.000000,0.000000,-1.000000,0.000000
51,neutron,66.000000,25.885069,-2.452097,-92.000000,-2.355912,90.000000,-90.000000,0.000000,-1.000000,0.000000
53,neutron,66.000000,0.138773,-0.322959,-92.000000,-0.325468,90.000000,-90.000000,0.000000,-1.000000,0.000000
54,neutron,66.000000,25.649667,-1.832906,-92.000000,1.315828,90.000000,-90.000000,0.000000,-1.000000,0.000000
55,gamma,3.724583,3.398528,0.516860,-92.000000,0.529486,91.260359,-90.594294,-0.010370,-0.999704,-0.021996
285,neutron,66.000000,22.709981,2.867136,-92.000000,-0.280451,90.000000,-90.000000,0.000000,-1.000000,0.000000
361,neutron,66.000000,0.000000,0.601009,-92.000000,2.535061,90.000000,-90.000000,0.000000,-1.000000,0.000000
60,neutron,66.000000,0.161196,-2.182522,-92.000000,-2.714197,90.000000,-90.000000,0.000000,-1.000000,0.000000
61,neutron,66.000000,34.463934,-0.353801,-92.000000,1.916059,90.000000,-90.000000,0.000000,-1.000000,0.000000
288,neutron,66.000000,0.522358,-2.700293,-92.000000,0.007558,90.000000,-90.000000,0.000000,-1.000000,0.000000
289,neutron,65.993203,0.126764,2.673917,-92.000000,-1.827303,91.796106,-88.856170,0.019952,-0.999310,-0.031343
140,neutron,66.000000,0.464046,-0.039971,-92.000000,2.715278,90.000000,-90.000000,0.000000,-1.000000,0.000000
290,neutron,66.000000,48.351011,1.667868,-92.000000,0.088740,90.000000,-90.000000,0.000000,-1.000000,0.000000
291,neutron,66.000000,0.229183,1.370294,-92.000000,-1.164413,90.000000,-90.000000,0.000000,-1.000000,0.000000
141,neutron,66.000000,23.419523,-0.388742,-92.000000,-0.115133,90.000000,-90.000000,0.000000,-1.000000,0.000000
143,neutron,66.000000,0.497270,-2.016004,-92.000000,-2.459673,90.000000,-90.000000,0.000000,-1.000000,0.000000
145,neutron,66.000000,0.281128,-2.574108,-92.000000,0.265196,90.000000,-90.000000,0.000000,-1.000000,0.000000
292,neutron,66.000000,14.301156,-0.633372,-92.000000,-2.696450,90.000000,-90.000000,0.000000,-1.000000,0.000000
294,neutron,66.000000,0.098027,-2.026020,-92.000000,-0.962433,90.000000,-90.000000,0.000000,-1.000000,0.000000
297,neutron,66.000000,0.389482,-1.629075,-92.000000,1.355622,90.000000,-90.000000,0.000000,-1.000000,0.000000
364,neutron,66.000000,28.348432,0.181242,-92.000000,0.225742,90.000000,-90.000000,0.000000,-1.000000,0.000000
368,neutron,66.000000,33.739223,1.421811,-92.000000,0.991273,90.000000,-90.000000,0.000000,-1.000000,0.000000
370,neutron,66.000000,33.598875,-0.892319,-92.000000,-1.379815,90.000000,-90.000000,0.000000,-1.000000,0.000000
371,neutron,66.000000,0.371169,-1.116784,-92.000000,-2.444729,90.000000,-90.000000,0.000000,-1.000000,0.000000
65,neutron,66.000000,6.934174,-0.077112,-92.000000,-1.221907,90.000000,-90.000000,0.000000,-1.000000,0.000000
68,neutron,66.000000,2.935528,-2.729756,-92.000000,-1.034466,90.000000,-90.000000,0.000000,-1.000000,0.000000
147,neutron,66.000000,0.066274,0.918831,-92.000000,1.343005,90.000000,-90.000000,0.000000,-1.000000,0.000000
149,neutron,66.000000,4.814479,2.877532,-92.000000,0.711917,90.000000,-90.000000,0.000000,-1.000000,0.000000
153,neutron,66.000000,17.836846,2.894426,-92.000000,-1.495876,90.000000,-90.000000,0.000000,-1.000000,0.000000
373,gamma,0.322038,0.322038,-1.602442,-92.000000,-2.032493,89.450160,-119.245371,-0.488528,-0.872495,0.009596
374,neutron,66.000000,0.000000,-1.012799,-92.000000,-0.089858,90.000000,-90.000000,0.000000,-1.000000,0.000000
375,neutron,66.000000,0.156148,-2.751344,-92.000000,-0.940708,90.000000,-90.000000,0.000000,-1.000000,0.000000
377,neutron,66.000000,0.165172,-1.736856,-92.000000,2.306008,90.000000,-90.000000,0.000000,-1.000000,0.000000
156,neutron,66.000000,26.671465,-1.995687,-92.000000,-1.900472,90.000000,-90.000000,0.000000,-1.000000,0.000000
157,neutron,66.000000,0.030133,0.384940,-92.000000,0.782208,90.000000,-90.000000,0.000000,-1.000000,0.000000
158,neutron,66.000000,23.737865,0.402545,-92.000000,-1.222352,90.000000,-90.000000,0.000000,-1.000000,0.000000
159,neutron,66.000000,37.860294,-2.518019,-92.000000,-0.779867,90.000000,-90.000000,0.000000,-1.000000,0.000000
