EventID,ParticleName,Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
412,neutron,57.000000,24.619951,1.082484,-92.000000,-0.028825,90.000000,-90.000000,0.000000,-1.000000,0.000000
415,neutron,57.000000,47.421602,-2.884127,-92.000000,2.062724,90.000000,-90.000000,0.000000,-1.000000,0.000000
354,neutron,57.000000,0.033515,-0.619792,-92.000000,0.497616,90.000000,-90.000000,0.000000,-1.000000,0.000000
149,neutron,57.000000,17.919251,-1.915791,-92.000000,-1.045903,90.000000,-90.000000,0.000000,-1.000000,0.000000
152,gamma,0.271515,0.993864,2.362758,-92.200000,-0.792841,95.558021,136.597198,-0.723125,0.683893,-0.096854
53,neutron,57.000000,0.140379,-1.441656,-92.000000,2.103612,90.000000,-90.000000,0.000000,-1.000000,0.000000
422,neutron,57.000000,0.014855,2.242432,-92.000000,-0.146113,90.000000,-90.000000,0.000000,-1.000000,0.000000
54,neutron,57.000000,19.310163,2.211873,-92.000000,2.153930,90.000000,-90.000000,0.000000,-1.000000,0.000000
55,gamma,2.145830,2.145830,2.039335,-92.000000,-2.711827,91.294865,-90.509844,-0.008896,-0.999705,-0.022598
153,neutron,57.000000,26.318128,1.274810,-92.000000,2.846513,90.000000,-90.000000,0.000000,-1.000000,0.000000
361,neutron,57.000000,0.000000,-0.525876,-92.000000,2.064118,90.000000,-90.000000,0.000000,-1.000000,0.000000
60,neutron,57.000000,0.183914,-0.115004,-92.000000,2.411033,90.000000,-90.000000,0.000000,-1.000000,0.000000
423,neutron,57.000000,10.039187,1.285250,-92.000000,1.730375,90.000000,-90.000000,0.000000,-1.000000,0.000000
427,neutron,57.000000,0.370244,0.569567,-92.000000,1.361476,90.000000,-90.000000,0.000000,-1.000000,0.000000
428,neutron,57.000000,0.000000,-0.108164,-92.000000,-2.684827,90.000000,-90.000000,0.000000,-1.000000,0.000000
429,neutron,57.000000,14.277128,2.351791,-92.000000,1.498914,90.000000,-90.000000,0.000000,-1.000000,0.000000
430,neutron,57.000000,0.209679,0.066524,-92.000000,2.805708,90.000000,-90.000000,0.000000,-1.000000,0.000000
431,neutron,57.000000,0.916317,1.024590,-92.000000,2.692970,90.000000,-90.000000,0.000000,-1.000000,0.000000
156,neutron,57.000000,27.130463,1.265121,-92.000000,1.317425,90.000000,-90.000000,0.000000,-1.000000,0.000000
157,neutron,57.000000,0.032380,-2.697680,-92.000000,2.960753,90.000000,-90.000000,0.000000,-1.000000,0.000000
433,neutron,57.000000,17.493723,-2.164097,-92.000000,-2.553985,90.000000,-90.000000,0.000000,-1.000000,0.000000
434,neutron,57.000000,0.000000,-2.709668,-92.000000,-0.799781,90.000000,-90.000000,0.000000,-1.000000,0.000000
435,neutron,57.000000,0.000000,0.335980,-92.000000,2.658909,90.000000,-90.000000,0.000000,-1.000000,0.000000
61,neutron,57.000000,8.235764,-0.748522,-92.000000,-1.491846,90.000000,-90.000000,0.000000,-1.000000,0.000000
364,neutron,57.000000,34.292559,0.228220,-92.000000,1.644197,90.000000,-90.000000,0.000000,-1.000000,0.000000
368,neutron,57.000000,36.555513,-1.501103,-92.000000,2.522380,90.000000,-90.000000,0.000000,-1.000000,0.000000
370,neutron,57.000000,2.256067,1.220993,-92.000000,2.374313,90.000000,-90.000000,0.000000,-1.000000,0.000000
371,neutron,56.721063,0.086685,-0.992379,-92.000000,-2.893432,99.648548,-101.235523,-0.192086,-0.966960,-0.167604
436,neutron,57.000000,0.550025,2.799343,-92.000000,1.202593,90.000000,-90.000000,0.000000,-1.000000,0.000000
159,neutron,57.000000,37.504129,-2.824486,-92.000000,-1.185353,90.000000,-90.000000,0.000000,-1.000000,0.000000
437,neutron,57.000000,47.568973,-1.561699,-92.000000,-0.606366,90.000000,-90.000000,0.000000,-1.000000,0.000000
